prod_name,Collection,supplier,brand,color,pattern,category,cat_name,link,image
GE3668,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BLUE,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3668.jpg
GE3669,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,WHITE,PINK,ashford geometrics,ashford,#,/images/ashford/GE3669.jpg
GE3666,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,GREEN,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3666.jpg
GE3670,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,WHITE,GOLD,ashford geometrics,ashford,#,/images/ashford/GE3670.jpg
GE3664,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,WHITE,BLUE,ashford geometrics,ashford,#,/images/ashford/GE3664.jpg
GE3665,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BEIGE,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3665.jpg
GE3667,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,LIGHT GREY,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3667.jpg
GE3671,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,GREEN,NA,ashford geometrics,ashford,#,/images/ashford/GE3671.jpg
GE3659,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,GREEN,SILVER,ashford geometrics,ashford,#,/images/ashford/GE3659.jpg
GE3656,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BEIGE,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3656.jpg
GE3658,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BLUE,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3658.jpg
GE3657,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BEIGE,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3657.jpg
GE3660,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BROWN,GOLD,ashford geometrics,ashford,#,/images/ashford/GE3660.jpg
GE3661,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BEIGE,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3661.jpg
GE3651,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,WHITE,ORANGE,ashford geometrics,ashford,#,/images/ashford/GE3651.jpg
GE3650,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,GREY ,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3650.jpg
GE3652,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BLUE,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3652.jpg
GE3653,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,WHITE,GREEN,ashford geometrics,ashford,#,/images/ashford/GE3653.jpg
GE3648,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,GREY,NA,ashford geometrics,ashford,#,/images/ashford/GE3648.jpg
GE3649,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BLACK,GREY,ashford geometrics,ashford,#,/images/ashford/GE3649.jpg
GE3600,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BEIGE,NA,ashford geometrics,ashford,#,/images/ashford/GE3600.jpg
GE3601,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BROWN,NA,ashford geometrics,ashford,#,/images/ashford/GE3601.jpg
GE3602,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BLUE,NA,ashford geometrics,ashford,#,/images/ashford/GE3602.jpg
GE3603,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BEIGE,NA,ashford geometrics,ashford,#,/images/ashford/GE3603.jpg
GE3624,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BEIGE,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3624.jpg
GE3630,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,ORANGE,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3630.jpg
GE3625,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BLUE,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3625.jpg
GE3629,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,GREEN,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3629.jpg
GE3627,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BEIGE,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3627.jpg
GE3626,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,GREY,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3626.jpg
GE3628,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BLUE,SILVER,ashford geometrics,ashford,#,/images/ashford/GE3628.jpg
GE3715,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BLUE ,BLUE,ashford geometrics,ashford,#,/images/ashford/GE3715.jpg
GE3714,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,WHITE,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3714.jpg
GE3712,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,GOLD,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3712.jpg
GE3713,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,SILVER,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3713.jpg
GE3716,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,SILVER,BLACK,ashford geometrics,ashford,#,/images/ashford/GE3716.jpg
GE3608,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,WHITE,GREY,ashford geometrics,ashford,#,/images/ashford/GE3608.jpg
GE3609,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,WHITE,BEIGE,ashford geometrics,ashford,#,/images/ashford/GE3609.jpg
GE3613,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,WHITE,RED,ashford geometrics,ashford,#,/images/ashford/GE3613.jpg
GE3611,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,WHITE,BEIGE,ashford geometrics,ashford,#,/images/ashford/GE3611.jpg
GE3610,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,WHITE,BLUE,ashford geometrics,ashford,#,/images/ashford/GE3610.jpg
GE3612,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,WHITE,YELLOW,ashford geometrics,ashford,#,/images/ashford/GE3612.jpg
GE3643,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BEIGE,GREY,ashford geometrics,ashford,#,/images/ashford/GE3643.jpg
GE3641,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BLUE,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3641.jpg
GE3644,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,GREEN,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3644.jpg
GE3640,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BLUE,BLUE,ashford geometrics,ashford,#,/images/ashford/GE3640.jpg
GE3642,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BROWN,BEIGE,ashford geometrics,ashford,#,/images/ashford/GE3642.jpg
GE3680,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BEIGE,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3680.jpg
GE3683,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BLUE,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3683.jpg
GE3685,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,YELLOW,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3685.jpg
GE3682,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BEIGE,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3682.jpg
GE3684,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BLUE,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3684.jpg
GE3681,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,GREEN,WHITE ,ashford geometrics,ashford,#,/images/ashford/GE3681.jpg
GE3706,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,GREEN,WHITE ,ashford geometrics,ashford,#,/images/ashford/GE3706.jpg
GE3705,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BLUE,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3705.jpg
GE3707,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BEIGE,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3707.jpg
GE3708,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BROWN,BEIGE,ashford geometrics,ashford,#,/images/ashford/GE3708.jpg
GE3704,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,YELLOW,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3704.jpg
GE3709,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BEIGE,BEIGE,ashford geometrics,ashford,#,/images/ashford/GE3709.jpg
GE3617,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,YELLOW,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3617.jpg
GE3618,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,GREEN,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3618.jpg
GE3619,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BEIGE,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3619.jpg
GE3620,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BLUE,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3620.jpg
GE3616,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,GREY,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3616.jpg
GE3688,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BEIGE,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3688.jpg
GE3696,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BEIGE,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3696.jpg
GE3689,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,GREY,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3689.jpg
GE3697,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,GREY,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3697.jpg
GE3690,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BLUE ,BLACK,ashford geometrics,ashford,#,/images/ashford/GE3690.jpg
GE3698,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,WHITE,BLUE,ashford geometrics,ashford,#,/images/ashford/GE3698.jpg
GE3691,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,WHITE,GOLD,ashford geometrics,ashford,#,/images/ashford/GE3691.jpg
GE3699,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,WHITE,GOLD,ashford geometrics,ashford,#,/images/ashford/GE3699.jpg
GE3692,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,WHITE,GREY,ashford geometrics,ashford,#,/images/ashford/GE3692.jpg
GE3700,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,WHITE,GREY,ashford geometrics,ashford,#,/images/ashford/GE3700.jpg
